"title","tags","views","likes","comment_count","category_id","categories","publish_date_official","trend_date_official","Title","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag11","tag12","tag13","tag14","tag15","tag16","tag17","tag18","tag19","tag20","tag21","tag22","tag23","tag24","tag25","tag26","tag27","tag28","tag29","tag30","tag31","tag32","tag33","tag34","tag35","tag36","tag37","tag38","tag39","tag40","tag41","tag42","tag43","tag44","tag45","tag46","tag47","tag48","tag49","tag50","tag51","tag52"
"Childish Gambino - This Is America (Official Video)","Childish Gambino|""Rap""|""This Is America""|""mcDJ Recording/RCA Records""",225211923,5023450,517232,10,"Music",2018-05-06,2018-06-02,"Childish Gambino - This Is America (Official Video)","Childish Gambino","Rap","This Is America","mcDJ Recording/RCA Records",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YouTube Rewind: The Shape of 2017 | #YouTubeRewind","Rewind|""Rewind 2017""|""youtube rewind 2017""|""#YouTubeRewind""|""Rewind 2016""|""Dan and Phil""|""Grace Helbig""|""HolaSoyGerman""|""Lilly Singh""|""Markiplier""|""Swoozie""|""Rhett Link""|""Liza Koshy""|""Dolan Twins""|""Lele Pons""|""Jake Paul""|""Logan Paul""|""KSI""|""Joey Graceffa""|""Casey Neistat""|""Poppy""|""Niana Guerrero""|""Daddy Yankee""|""Luis Fonsi""|""Ed Sheeran""|""Kendrick Lamar""|""Stephen Colbert""|""Fidget Spinners""|""Slime""|""Backpack Kid""|""April the Giraffe""|""#Rewind""|""Despacito""|""Shape of you""|""YouTubeRewind""|""I’m the One""|""Humble""",149376127,3093544,810698,24,"Entertainment",2017-12-06,2017-12-14,"YouTube Rewind: The Shape of 2017 | #YouTubeRewind","Rewind","Rewind 2017","youtube rewind 2017","#YouTubeRewind","Rewind 2016","Dan and Phil","Grace Helbig","HolaSoyGerman","Lilly Singh","Markiplier","Swoozie","Rhett Link","Liza Koshy","Dolan Twins","Lele Pons","Jake Paul","Logan Paul","KSI","Joey Graceffa","Casey Neistat","Poppy","Niana Guerrero","Daddy Yankee","Luis Fonsi","Ed Sheeran","Kendrick Lamar","Stephen Colbert","Fidget Spinners","Slime","Backpack Kid","April the Giraffe","#Rewind","Despacito","Shape of you","YouTubeRewind","I’m the One","Humble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ariana Grande - No Tears Left To Cry","Ariana|""Grande""|""No""|""Tears""|""Left""|""To""|""Cry""|""Universal""|""Records""|""Pop""",148689896,3094021,242039,10,"Music",2018-04-20,2018-05-14,"Ariana Grande - No Tears Left To Cry","Ariana","Grande","No","Tears","Left","To","Cry","Universal","Records","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Becky G, Natti Natasha - Sin Pijama (Official Video)","Becky G|""Natti Natasha""|""Natti Natasha Music""|""Natti Natasha Official Video""|""Natti Natasha Video""|""Natti Natasha Video Oficial""|""Natti Natasha Nuevo Video""|""Natti Natasha New Video""|""Sin Pijama Official Video""|""Official Video""|""Sin Pijama Official Remix Video""|""Sin Pijama Single""|""Single""|""Natti Natasha New Single""|""Natti Natasha Single""|""Natti Natasha Song""|""Sin Pijama new song""|""Sin Pijama nueva canción""|""Natti Natasha nueva cancion""|""Natti""|""Natasha""|""en""",139334502,1425496,83941,10,"Music",2018-04-20,2018-05-15,"Becky G, Natti Natasha - Sin Pijama (Official Video)","Becky G","Natti Natasha","Natti Natasha Music","Natti Natasha Official Video","Natti Natasha Video","Natti Natasha Video Oficial","Natti Natasha Nuevo Video","Natti Natasha New Video","Sin Pijama Official Video","Official Video","Sin Pijama Official Remix Video","Sin Pijama Single","Single","Natti Natasha New Single","Natti Natasha Single","Natti Natasha Song","Sin Pijama new song","Sin Pijama nueva canción","Natti Natasha nueva cancion","Natti","Natasha","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""|""FAKE LOVE""|""FAKE_LOVE""|""fake love""",123010920,5613827,1228655,10,"Music",2018-05-18,2018-06-01,"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT","빅히트","방탄소년단","BTS","BANGTAN","방탄","FAKE LOVE","FAKE_LOVE","fake love",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Weeknd - Call Out My Name (Official Video)","The|""Weeknd""|""Call""|""Out""|""My""|""Name""",122544931,1427436,55320,10,"Music",2018-04-12,2018-05-14,"The Weeknd - Call Out My Name (Official Video)","The","Weeknd","Call","Out","My","Name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Fonsi, Demi Lovato - Échame La Culpa","Luis|""Fonsi""|""Demi""|""Lovato""|""Échame""|""La""|""Culpa""|""UMLE""|""Latino""|""Latin""|""Pop""",102012605,2376636,134224,10,"Music",2017-11-17,2017-11-26,"Luis Fonsi, Demi Lovato - Échame La Culpa","Luis","Fonsi","Demi","Lovato","Échame","La","Culpa","UMLE","Latino","Latin","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","Cardi B|""I Like It""|""Invasion of Privacy""|""Bad Bunny""|""J Balvin""|""Bronx""|""New York""|""Rap""|""Hip Hop""|""Bodak Yellow""|""Bartier Cardi""|""8zSRkr1nQNw""|""Cardi""|""Bardi""",94254507,1816753,101077,10,"Music",2018-05-29,2018-06-14,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","Cardi B","I Like It","Invasion of Privacy","Bad Bunny","J Balvin","Bronx","New York","Rap","Hip Hop","Bodak Yellow","Bartier Cardi","8zSRkr1nQNw","Cardi","Bardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marvel Studios' Avengers: Infinity War Official Trailer","marvel|""comics""|""comic books""|""nerdy""|""geeky""|""super hero""|""superhero""|""avengers: infinity war""|""avengers""|""infinity war""|""marvel studios""",91933007,2625661,350458,24,"Entertainment",2017-11-29,2017-12-08,"Marvel Studios' Avengers: Infinity War Official Trailer","marvel","comics","comic books","nerdy","geeky","super hero","superhero","avengers: infinity war","avengers","infinity war","marvel studios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maluma - El Préstamo (Official Video)","Maluma Music|""Maluma Official Video""|""Maluma Video""|""Maluma Video Oficial""|""Maluma Nuevo Video""|""Maluma New Video""|""El Prestamo""|""El Prestamo Official Video""|""El Prestamo Official Remix Video""|""El Prestamo Single""|""Maluma New Single""|""Maluma Single""|""Maluma Song""|""El Prestamo new song""|""El Prestamo nueva canción""|""Maluma nueva cancion""|""Maluma sencillo""|""Maluma nuevo sencillo""|""Maluma El Prestamo""|""Maluma F.A.M.E""|""Maluma F.A.M.EF.A.M.E""|""El Prestamo BTS""|""El""|""the""",87264467,815369,35945,10,"Music",2018-03-09,2018-03-25,"Maluma - El Préstamo (Official Video)","Maluma Music","Maluma Official Video","Maluma Video","Maluma Video Oficial","Maluma Nuevo Video","Maluma New Video","El Prestamo","El Prestamo Official Video","El Prestamo Official Remix Video","El Prestamo Single","Maluma New Single","Maluma Single","Maluma Song","El Prestamo new song","El Prestamo nueva canción","Maluma nueva cancion","Maluma sencillo","Maluma nuevo sencillo","Maluma El Prestamo","Maluma F.A.M.E","Maluma F.A.M.EF.A.M.E","El Prestamo BTS","El","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""|""FAKE LOVE""|""FAKE_LOVE""",73463137,4924045,1084421,10,"Music",2018-05-18,2018-05-22,"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT","빅히트","방탄소년단","BTS","BANGTAN","방탄","FAKE LOVE","FAKE_LOVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Swift - Delicate","Taylor Swift|""Delicate""|""Big""|""Machine""|""Records""|""LLC""|""Pop""",71560694,1928392,162990,10,"Music",2018-03-12,2018-03-27,"Taylor Swift - Delicate","Taylor Swift","Delicate","Big","Machine","Records","LLC","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Harris, Dua Lipa - One Kiss (Official Video)","calvin harris|""calvin harris one kiss""|""calvin harris dua lipa""|""calvin harris dua lipa one kiss""|""one kiss""|""calvin harris dua lipa one kiss graham norton""|""calvin harris radio 1""|""calvin harris dua lipa one kiss live""|""dua lipa one kiss live""|""calvin harris dua lipa one kiss lyrics""|""calvin harris one kiss lyrics""|""calvin harris one kiss live""|""calvin harris feels""|""calvin harris summer""|""calvin harris nuh ready""|""calvin harris slide""|""calvin""|""harris""|""you""",71017021,828626,26279,10,"Music",2018-05-02,2018-05-25,"Calvin Harris, Dua Lipa - One Kiss (Official Video)","calvin harris","calvin harris one kiss","calvin harris dua lipa","calvin harris dua lipa one kiss","one kiss","calvin harris dua lipa one kiss graham norton","calvin harris radio 1","calvin harris dua lipa one kiss live","dua lipa one kiss live","calvin harris dua lipa one kiss lyrics","calvin harris one kiss lyrics","calvin harris one kiss live","calvin harris feels","calvin harris summer","calvin harris nuh ready","calvin harris slide","calvin","harris","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWICE What is Love? M/V","TWICE What is Love|""TWICE What is Love?""|""TWICE 왓이즈러브""|""트와이스 왓이즈러브""|""트와이스 What is Love""|""What is Love?""|""What is Love""|""왓이즈러브""|""웟이즈러브""|""What's Love""|""왓츠러브""|""TWICE What's Love""|""트와이스 What's Love""|""트와이스 왓츠러브""|""TWICE""|""트와이스""|""What is Love M/V""|""What is Love MV""|""What is Love Music Video""|""What is Love 뮤비""|""What is Love 뮤직비디오""|""TWICE M/V""|""TWICE MV""|""TWICE Music Video""|""TWICE 뮤비""|""TWICE 뮤직비디오""|""트와이스 M/V""|""트와이스 MV""|""트와이스 Music Video""|""트와이스 뮤비""|""트와이스 뮤직비디오""|""박진영""|""JYP""|""트와이스 남장""|""트와이스 영화 패러디""",69295519,1324609,238744,10,"Music",2018-04-09,2018-04-27,"TWICE What is Love? M/V","TWICE What is Love","TWICE What is Love?","TWICE 왓이즈러브","트와이스 왓이즈러브","트와이스 What is Love","What is Love?","What is Love","왓이즈러브","웟이즈러브","What's Love","왓츠러브","TWICE What's Love","트와이스 What's Love","트와이스 왓츠러브","TWICE","트와이스","What is Love M/V","What is Love MV","What is Love Music Video","What is Love 뮤비","What is Love 뮤직비디오","TWICE M/V","TWICE MV","TWICE Music Video","TWICE 뮤비","TWICE 뮤직비디오","트와이스 M/V","트와이스 MV","트와이스 Music Video","트와이스 뮤비","트와이스 뮤직비디오","박진영","JYP","트와이스 남장","트와이스 영화 패러디",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maroon 5 - Girls Like You ft. Cardi B","Maroon|""Girls""|""Like""|""You""|""Interscope""|""Records*""|""Pop""",66529577,2488565,142410,10,"Music",2018-05-31,2018-06-09,"Maroon 5 - Girls Like You ft. Cardi B","Maroon","Girls","Like","You","Interscope","Records*","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drake - Nice For What","Drake|""Nice""|""For""|""What""|""Young""|""Money""|""Hip""|""Hop""",60635812,994986,55653,10,"Music",2018-04-07,2018-04-27,"Drake - Nice For What","Drake","Nice","For","What","Young","Money","Hip","Hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maluma - Marinero (Official Video)","Maluma Marinero|""Maluma Marinero official video""|""Marinero video oficial""|""latin pop""|""Reggaeton""|""Marinero dance""|""Maluma Marinero karaoke""|""Maluma mix""|""Maluma exitos""|""Maluma Marinero lyrics""|""Marinero letra""|""Maluma best songs""|""music video""|""musica en espanol""|""latin music""|""Marinero remix""|""Reggaeton mix""|""Felices Los 4""|""El Prestamo""|""Chantaje""|""Cuatro Babys""|""Corazon""|""J.Balvin""|""Ozuna""|""Daddy Yankee""|""Nicky Jam""|""live""|""en vivo""|""Maluma Marinero english""|""Latin""",59877217,853193,48391,10,"Music",2018-05-04,2018-05-29,"Maluma - Marinero (Official Video)","Maluma Marinero","Maluma Marinero official video","Marinero video oficial","latin pop","Reggaeton","Marinero dance","Maluma Marinero karaoke","Maluma mix","Maluma exitos","Maluma Marinero lyrics","Marinero letra","Maluma best songs","music video","musica en espanol","latin music","Marinero remix","Reggaeton mix","Felices Los 4","El Prestamo","Chantaje","Cuatro Babys","Corazon","J.Balvin","Ozuna","Daddy Yankee","Nicky Jam","live","en vivo","Maluma Marinero english","Latin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VENOM - Official Trailer (HD)","Venom|""Venom Movie""|""Venom (2018)""|""Marvel""|""Marvel Comics""|""Planet of the Symbiotes""|""Eddie Brock""|""Tom Hardy""|""Ruben Fleischer""|""Spider-man""|""Spider-man: Homecoming""|""Michelle Williams""|""Jenny Slate""|""Riz Ahmed""|""Spider-man Spinoff""|""We Are Venom""|""Peter Parker""|""Sony Pictures Entertainment""|""film""|""movie""|""official""|""official venom movie trailer""|""official trailer""|""sony pictures venom""",59254638,1295189,139879,24,"Entertainment",2018-04-24,2018-05-14,"VENOM - Official Trailer (HD)","Venom","Venom Movie","Venom (2018)","Marvel","Marvel Comics","Planet of the Symbiotes","Eddie Brock","Tom Hardy","Ruben Fleischer","Spider-man","Spider-man: Homecoming","Michelle Williams","Jenny Slate","Riz Ahmed","Spider-man Spinoff","We Are Venom","Peter Parker","Sony Pictures Entertainment","film","movie","official","official venom movie trailer","official trailer","sony pictures venom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video]","Bruno Mars|""Finesse""|""Cardi B""|""Finesse Remix""|""Bruno""|""Mars""|""Cardi""|""official video""|""Pop""|""Hip hop""|""R&B""|""Atlantic Records""|""Atlantic""|""In Living Color""",57951412,1919583,133601,10,"Music",2018-01-04,2018-01-12,"Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video]","Bruno Mars","Finesse","Cardi B","Finesse Remix","Bruno","Mars","Cardi","official video","Pop","Hip hop","R&B","Atlantic Records","Atlantic","In Living Color",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"To Our Daughter","Kylie Jenner|""Kylie""|""Travis Scott""|""Baby""|""Annoucement""",56111957,0,0,22,"People & Blogs",2018-02-04,2018-02-14,"To Our Daughter","Kylie Jenner","Kylie","Travis Scott","Baby","Annoucement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ed Sheeran - Happier (Official Video)","edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""|""ed sheeran happier""|""edsheeran happier""",55054077,1378923,67092,10,"Music",2018-04-27,2018-05-15,"Ed Sheeran - Happier (Official Video)","edsheeran","ed sheeran","acoustic","live","cover","official","remix","official video","lyrics","session","ed sheeran happier","edsheeran happier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selena Gomez - Back To You (Lyric Video)","selena gomez|""13 reasons why""|""back to you""|""selena""|""gomez""|""13 reasons""|""netflix""",54863912,922355,41774,1,"Film & Animation",2018-05-10,2018-06-09,"Selena Gomez - Back To You (Lyric Video)","selena gomez","13 reasons why","back to you","selena","gomez","13 reasons","netflix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE","5-Minute Crafts|""DIY""|""Do it yourself""|""crafts""|""trucos""|""trucos de belliza""|""proyectos faciles""|""useful things""|""lifehacks""|""tricks""|""tips""|""DIY projects""|""DIY activities""|""Handcraft""|""Tutorial""|""easy life hacks""|""simple life hacks""|""old into new""|""save money""|""money-saving""|""cheap""|""reuse""|""recycle""|""repurpose""|""fix""|""way""|""ways""|""how to""|""fix a phone""|""phone hacks""|""scratches""|""broken screen""|""toothpaste""|""toothpaste hacks""|""eraze""|""plastic bottles""|""fork""|""kitchen""|""kitchen hacks""|""broken""|""cola""|""colgate""|""plastic bags""|""clean""|""cleaning""",54155921,378111,24679,26,"How To & Style",2017-12-03,2017-12-11,"42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE","5-Minute Crafts","DIY","Do it yourself","crafts","trucos","trucos de belliza","proyectos faciles","useful things","lifehacks","tricks","tips","DIY projects","DIY activities","Handcraft","Tutorial","easy life hacks","simple life hacks","old into new","save money","money-saving","cheap","reuse","recycle","repurpose","fix","way","ways","how to","fix a phone","phone hacks","scratches","broken screen","toothpaste","toothpaste hacks","eraze","plastic bottles","fork","kitchen","kitchen hacks","broken","cola","colgate","plastic bags","clean","cleaning",NA,NA,NA,NA,NA,NA,NA
"Marvel Studios' Avengers: Infinity War - Official Trailer","marvel|""comics""|""comic books""|""nerd""|""geek""|""superhero""|""super hero""|""infinity war""|""avengers""|""captain america""|""black panther""|""iron man""|""hulk""|""black window""|""wakanda""|""winter soldier""",52404970,1565579,194290,24,"Entertainment",2018-03-16,2018-03-29,"Marvel Studios' Avengers: Infinity War - Official Trailer","marvel","comics","comic books","nerd","geek","superhero","super hero","infinity war","avengers","captain america","black panther","iron man","hulk","black window","wakanda","winter soldier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ed Sheeran - Happier (Official Video)","edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",49353979,1346647,66081,10,"Music",2018-04-27,2018-05-12,"Ed Sheeran - Happier (Official Video)","edsheeran","ed sheeran","acoustic","live","cover","official","remix","official video","lyrics","session",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
