"title","tags","views","likes","comment_count","category_id","categories","publish_date_official","trend_date_official","Title","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag11","tag12","tag13","tag14","tag15","tag16","tag17","tag18","tag19","tag20","tag21","tag22","tag23","tag24","tag25","tag26","tag27","tag28","tag29","tag30","tag31","tag32","tag33","tag34","tag35","tag36","tag37","tag38","tag39","tag40","tag41","tag42","tag43","tag44","tag45","tag46","tag47","tag48","tag49","tag50","tag51","tag52"
"Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani","Sanju Teaser|""Official Teaser""|""Sanju Official Teaser""|""sanjay dutt biopic""|""sanjay dutt biopic teaser""|""sanjay dutt biopic film""|""sanjay dutt new movie""|""rajkumar hirani movies""|""Ranbir Kapoor""|""Paresh Rawal""|""Manisha Koirala""|""Anushka Sharma""|""Sonam Kapoor""|""Dia Mirza""|""Vicky Kaushal""|""Jim Sarbh""|""Boman Irani""|""Vinod Chopra Films""|""Rajkumar Hirani Films""|""Fox Star Studios""|""ranbir kapoor sanjay dutt biopic""|""ranbir kapoor sanjay dutt biopic movie""|""ranbir kapoor sanjay dutt film""",48654951,811144,48941,24,"Entertainment",2018-04-24,2018-05-14,"Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani","Sanju Teaser","Official Teaser","Sanju Official Teaser","sanjay dutt biopic","sanjay dutt biopic teaser","sanjay dutt biopic film","sanjay dutt new movie","rajkumar hirani movies","Ranbir Kapoor","Paresh Rawal","Manisha Koirala","Anushka Sharma","Sonam Kapoor","Dia Mirza","Vicky Kaushal","Jim Sarbh","Boman Irani","Vinod Chopra Films","Rajkumar Hirani Films","Fox Star Studios","ranbir kapoor sanjay dutt biopic","ranbir kapoor sanjay dutt biopic movie","ranbir kapoor sanjay dutt film",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly","BPG/RVG/RCA Records|""G-Eazy feat. A$AP Rocky""|""Cardi B""|""French Montana""|""Juicy J & Belly""|""No Limit REMIX""|""Rap""",45938392,728696,43541,10,"Music",2017-12-19,2018-01-02,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly","BPG/RVG/RCA Records","G-Eazy feat. A$AP Rocky","Cardi B","French Montana","Juicy J & Belly","No Limit REMIX","Rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Swift - End Game ft. Ed Sheeran, Future","Taylor|""Swift""|""End""|""Game""|""Big""|""Machine""|""Pop""",45141770,1844959,148768,10,"Music",2018-01-12,2018-01-19,"Taylor Swift - End Game ft. Ed Sheeran, Future","Taylor","Swift","End","Game","Big","Machine","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAYN - Let Me (Official Video)","Let Me|""Pop""|""RCA Records Label""|""ZAYN""",44782227,1320316,85709,10,"Music",2018-04-12,2018-04-30,"ZAYN - Let Me (Official Video)","Let Me","Pop","RCA Records Label","ZAYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ed Sheeran - Perfect (Official Music Video)","edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",43449654,1788960,93428,10,"Music",2017-11-09,2017-11-16,"Ed Sheeran - Perfect (Official Music Video)","edsheeran","ed sheeran","acoustic","live","cover","official","remix","official video","lyrics","session",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do You Hear Yanny or Laurel? (SOLVED with SCIENCE)","AsapSCIENCE|""audio illusion""|""yanny""|""laurel""|""solved""|""what do you hear""|""explain yanny or laurel""|""science of yanny or laurel""|""the science of yanny vs. laurel""|""cloe feldman""|""jacksfilms""|""SOLVED: Yanny or Laurel""|""the science of audio illusions""|""frequency""|""pitch""|""audio tricks""|""yanny or laurel""|""casey neistat tech review""|""yaurel""|""which do you hear""|""the science of yanny""|""the science of laurel""|""the dress""|""what colour is this dress""|""Do you hear yanny or laurel""|""don't flinch""|""why i'm so scared""",42799458,564804,180913,28,"Science & Technology",2018-05-16,2018-06-01,"Do You Hear Yanny or Laurel? (SOLVED with SCIENCE)","AsapSCIENCE","audio illusion","yanny","laurel","solved","what do you hear","explain yanny or laurel","science of yanny or laurel","the science of yanny vs. laurel","cloe feldman","jacksfilms","SOLVED: Yanny or Laurel","the science of audio illusions","frequency","pitch","audio tricks","yanny or laurel","casey neistat tech review","yaurel","which do you hear","the science of yanny","the science of laurel","the dress","what colour is this dress","Do you hear yanny or laurel","don't flinch","why i'm so scared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liam Payne & J Balvin - Familiar (Official Video)","Liam|""Payne""|""Familiar""|""Capitol""|""Pop""",42390420,554509,21650,10,"Music",2018-05-04,2018-05-29,"Liam Payne & J Balvin - Familiar (Official Video)","Liam","Payne","Familiar","Capitol","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daddy Yankee - Hielo (Video Oficial)","daddy yankee reggaeton|""daddy yankee youtube""|""music daddy yankee""|""daddy""|""gasolina daddy yankee""|""shaky shaky""|""music video daddy yankee""|""Daddy Yankee Dura""|""Daddy Yankee""|""Hielo""|""Daddy Yankee Hielo""|""Hielo Daddy Yankee""|""Daddy""|""Yankee""|""Reggaeton""|""Audio""|""Music Video""|""Official Audio""|""Daddy Yankee Oficial""|""Music Daddy""|""Dura""|""Daddy Yankee YouTube""|""Daddy Yankee Mp3""|""Daddy Yankee Reggaeton""|""music Daddy Yankee""|""Daddy y Yankee""|""trap latino""",41803845,628861,39363,10,"Music",2018-05-18,2018-06-14,"Daddy Yankee - Hielo (Video Oficial)","daddy yankee reggaeton","daddy yankee youtube","music daddy yankee","daddy","gasolina daddy yankee","shaky shaky","music video daddy yankee","Daddy Yankee Dura","Daddy Yankee","Hielo","Daddy Yankee Hielo","Hielo Daddy Yankee","Daddy","Yankee","Reggaeton","Audio","Music Video","Official Audio","Daddy Yankee Oficial","Music Daddy","Dura","Daddy Yankee YouTube","Daddy Yankee Mp3","Daddy Yankee Reggaeton","music Daddy Yankee","Daddy y Yankee","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Weeknd - Call Out My Name (Official Audio)","The Weeknd|""Call Out My Name""|""Official Audio""|""My Dear Melancholy""|""XO""",41604561,670203,26743,10,"Music",2018-03-30,2018-04-20,"The Weeknd - Call Out My Name (Official Audio)","The Weeknd","Call Out My Name","Official Audio","My Dear Melancholy","XO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jennifer Lopez - El Anillo (Official Video)","Jennifer Lopez El Anillo|""Jennifer Lopez El Anillo official video""|""El Anillo video oficial""|""Pop""|""El Anillo dance""|""Jennifer Lopez El Anillo karaoke""|""Jennifer Lopez mix""|""Jennifer Lopez exitos""|""Jennifer Lopez El Anillo lyrics""|""El Anillo letra""|""Jennifer Lopez best songs""|""music video""|""musica en espanol""|""latin music""|""El Anillo remix""|""Pop mix""|""JLO""|""Shakira""|""Ricky Martin""|""Pitbull""|""Beyonce""|""Selena""|""live""|""en vivo""|""Jennifer""|""Lopez""|""El""",41446137,502519,36974,10,"Music",2018-04-27,2018-05-14,"Jennifer Lopez - El Anillo (Official Video)","Jennifer Lopez El Anillo","Jennifer Lopez El Anillo official video","El Anillo video oficial","Pop","El Anillo dance","Jennifer Lopez El Anillo karaoke","Jennifer Lopez mix","Jennifer Lopez exitos","Jennifer Lopez El Anillo lyrics","El Anillo letra","Jennifer Lopez best songs","music video","musica en espanol","latin music","El Anillo remix","Pop mix","JLO","Shakira","Ricky Martin","Pitbull","Beyonce","Selena","live","en vivo","Jennifer","Lopez","El",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWICE Heart Shaker M/V","TWICE Heart Shaker|""TWICE 하트셰이커""|""트와이스 Heart Shaker""|""트와이스 하트셰이커""|""Heart Shaker""|""하트셰이커""|""TWICE""|""트와이스""|""Heart Shaker M/V""|""Heart Shaker MV""|""Heart Shaker Music Video""|""Heart Shaker 뮤직비디오""|""Heart Shaker 뮤비""|""하트셰이커 M/V""|""하트셰이커 MV""|""하트셰이커 뮤직비디오""|""하트셰이커 뮤비""|""하트셰이커 Music Video""|""TWICE M/V""|""TWICE MV""|""TWICE Music Video""|""TWICE 뮤직비디오""|""TWICE 뮤비""|""트와이스 M/V""|""트와이스 MV""|""트와이스 Music Video""|""트와이스 뮤직비디오""|""트와이스 뮤비""|""TWICE Merry Happy""|""트와이스 Merry Happy""|""트와이스 메리 해피""|""Merry Happy""|""Merry & Happy""|""메리해피""",41088994,956937,157207,10,"Music",2017-12-11,2017-12-18,"TWICE Heart Shaker M/V","TWICE Heart Shaker","TWICE 하트셰이커","트와이스 Heart Shaker","트와이스 하트셰이커","Heart Shaker","하트셰이커","TWICE","트와이스","Heart Shaker M/V","Heart Shaker MV","Heart Shaker Music Video","Heart Shaker 뮤직비디오","Heart Shaker 뮤비","하트셰이커 M/V","하트셰이커 MV","하트셰이커 뮤직비디오","하트셰이커 뮤비","하트셰이커 Music Video","TWICE M/V","TWICE MV","TWICE Music Video","TWICE 뮤직비디오","TWICE 뮤비","트와이스 M/V","트와이스 MV","트와이스 Music Video","트와이스 뮤직비디오","트와이스 뮤비","TWICE Merry Happy","트와이스 Merry Happy","트와이스 메리 해피","Merry Happy","Merry & Happy","메리해피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June","Sanju|""Official Trailer""|""sanju official trailer""|""sanju official trailer 2018""|""biopic of sanjay dutt""|""biopic of sanjay dutt trailer""|""biopic of sanjay dutt movie trailer""|""Sanjay dutt biopic""|""Ranbir Kapoor""|""ranbir kapoor sanjay dutt biopic trailer""|""ranbir kapoor movies""|""ranbir kapoor new movies""|""Rajkumar Hirani""|""new bollywood movies 2018""|""new bollywood movies""|""latest bollywood movies""|""latest biopic movies""|""new biopic""|""new biopic movies""|""bollywood movies trailers 2018""",40714581,778513,76944,24,"Entertainment",2018-05-30,2018-06-14,"Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June","Sanju","Official Trailer","sanju official trailer","sanju official trailer 2018","biopic of sanjay dutt","biopic of sanjay dutt trailer","biopic of sanjay dutt movie trailer","Sanjay dutt biopic","Ranbir Kapoor","ranbir kapoor sanjay dutt biopic trailer","ranbir kapoor movies","ranbir kapoor new movies","Rajkumar Hirani","new bollywood movies 2018","new bollywood movies","latest bollywood movies","latest biopic movies","new biopic","new biopic movies","bollywood movies trailers 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplo, French Montana & Lil Pump ft. Zhavia - Welcome To The Party (Official Video)","Welcome to the party|""Diplo""|""Lil Pump""|""French Montana""|""Zhavia""|""Welcome to the party audio""|""welcome to the party song""|""wttp""|""welcome to the party diplo""|""welcome to the party lil pump""|""welcome to the party french montana""|""welcome to the party zhavia""|""wttp diplo""|""deadpool 2 soundtrack""|""diplo deadpool""|""diplo welcome to the party""|""french montana welcome to the party""|""new diplo music""|""deadpool 2 welcome to the party""|""deadpool 2 motion picture soundtrack""|""welcome to the party video""",40087764,835657,38305,10,"Music",2018-05-21,2018-06-14,"Diplo, French Montana & Lil Pump ft. Zhavia - Welcome To The Party (Official Video)","Welcome to the party","Diplo","Lil Pump","French Montana","Zhavia","Welcome to the party audio","welcome to the party song","wttp","welcome to the party diplo","welcome to the party lil pump","welcome to the party french montana","welcome to the party zhavia","wttp diplo","deadpool 2 soundtrack","diplo deadpool","diplo welcome to the party","french montana welcome to the party","new diplo music","deadpool 2 welcome to the party","deadpool 2 motion picture soundtrack","welcome to the party video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""",39349927,3880071,692305,10,"Music",2018-05-18,2018-05-19,"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT","빅히트","방탄소년단","BTS","BANGTAN","방탄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jurassic World: Fallen Kingdom - Official Trailer [HD]","Jurassic World|""Fallen Kingdom""|""Jurassic Park""|""T-Rex""|""Dinosaur""|""J.A. Bayona""|""Steven Spielberg""|""Colin Trevorrow""|""Chris Pratt""|""Bryce Dallas Howard""|""BD Wong""|""James Cromwell""|""Ted Levine""|""Justice Smith""|""Geraldine Chaplin""|""Daniella Pineda""|""Toby Jones""|""Jeff Goldblum""|""Rafe Spall""|""Derek Connolly""|""Isla Nublar""|""Raptor""",38070298,550348,50935,24,"Entertainment",2017-12-08,2017-12-15,"Jurassic World: Fallen Kingdom - Official Trailer [HD]","Jurassic World","Fallen Kingdom","Jurassic Park","T-Rex","Dinosaur","J.A. Bayona","Steven Spielberg","Colin Trevorrow","Chris Pratt","Bryce Dallas Howard","BD Wong","James Cromwell","Ted Levine","Justice Smith","Geraldine Chaplin","Daniella Pineda","Toby Jones","Jeff Goldblum","Rafe Spall","Derek Connolly","Isla Nublar","Raptor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"So Sorry.","logan paul vlog|""logan paul""|""logan""|""paul""|""olympics""|""logan paul youtube""|""vlog""|""daily""|""comedy""|""hollywood""|""parrot""|""maverick""|""bird""|""maverick clothes""|""logan paul apology""|""suicide forest""|""japanese suicide forest""|""suicide""|""logan paul suicide""|""suicide apology""",37539570,1402578,1361580,24,"Entertainment",2018-01-02,2018-01-09,"So Sorry.","logan paul vlog","logan paul","logan","paul","olympics","logan paul youtube","vlog","daily","comedy","hollywood","parrot","maverick","bird","maverick clothes","logan paul apology","suicide forest","japanese suicide forest","suicide","logan paul suicide","suicide apology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""",36857298,2729292,546100,10,"Music",2017-11-24,2017-12-01,"BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV","BIGHIT","빅히트","방탄소년단","BTS","BANGTAN","방탄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicki Minaj - Chun-Li","Nicki|""Minaj""|""Chun-Li""|""Minaj/Cash""|""Money""|""Rap""",36759844,834068,93136,10,"Music",2018-05-04,2018-05-20,"Nicki Minaj - Chun-Li","Nicki","Minaj","Chun-Li","Minaj/Cash","Money","Rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Incredibles 2 Official Teaser Trailer","Pixar|""Disney""|""Disney Pixar""|""Pixar Movie""|""Animation""|""the incredibles""|""incredibles 2""|""jack jack""|""elastigirl""|""mr. incredible""|""dash""|""violet""|""edna mode""|""new look""|""trailer""|""teaser""|""first look""|""clip""|""sneak peek""|""new movie""|""family movie""|""HD""|""funny""|""hilarious""",36152111,444698,48348,1,"Film & Animation",2017-11-18,2017-11-28,"Incredibles 2 Official Teaser Trailer","Pixar","Disney","Disney Pixar","Pixar Movie","Animation","the incredibles","incredibles 2","jack jack","elastigirl","mr. incredible","dash","violet","edna mode","new look","trailer","teaser","first look","clip","sneak peek","new movie","family movie","HD","funny","hilarious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio]","edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""|""beyonce""|""beyonce live""",36101955,998395,50709,10,"Music",2017-12-01,2017-12-08,"Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio]","edsheeran","ed sheeran","acoustic","live","cover","official","remix","official video","lyrics","session","beyonce","beyonce live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selena Gomez - Back To You","Selena|""Gomez""|""Back""|""To""|""You""|""PS""|""Pop""",35181079,1323550,71176,10,"Music",2018-06-05,2018-06-14,"Selena Gomez - Back To You","Selena","Gomez","Back","To","You","PS","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Incredibles 2 - Olympics Sneak Peek","Pixar|""Disney""|""Disney Pixar""|""Pixar Movie""|""Animation""|""incredibles""|""the incredibles""|""incredibles 2""|""jack jack""|""mr. incredible""|""mrs. incredible""|""frozone""|""samuel l. jackson""|""violet parr""|""dash parr""|""sneak peek""|""trailer""|""new movie""|""family movie""|""summer movie""|""first look""|""teaser""",34269048,440650,48269,1,"Film & Animation",2018-02-15,2018-02-25,"Incredibles 2 - Olympics Sneak Peek","Pixar","Disney","Disney Pixar","Pixar Movie","Animation","incredibles","the incredibles","incredibles 2","jack jack","mr. incredible","mrs. incredible","frozone","samuel l. jackson","violet parr","dash parr","sneak peek","trailer","new movie","family movie","summer movie","first look","teaser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"we broke up","lizzza|""lizza""|""liza""|""koshy""|""david""|""dobrik""|""vlog""|""vlogger""|""how""|""to""|""realtionship""|""boyfriend""|""girlfriend""|""dating""|""date""|""first""|""time""|""funny""|""kiss""|""break""|""up""|""slpit""|""serious""|""youtuber""|""challenge""|""try""|""not""|""love""|""you""",33627806,2032463,320194,22,"People & Blogs",2018-06-05,2018-06-14,"we broke up","lizzza","lizza","liza","koshy","david","dobrik","vlog","vlogger","how","to","realtionship","boyfriend","girlfriend","dating","date","first","time","funny","kiss","break","up","slpit","serious","youtuber","challenge","try","not","love","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Katy Perry - Hey Hey Hey (Official)","katy perry|""hey hey hey""|""official""|""music video""|""witness""|""can't break me""",33420138,821971,81388,10,"Music",2017-12-20,2018-01-02,"Katy Perry - Hey Hey Hey (Official)","katy perry","hey hey hey","official","music video","witness","can't break me",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eminem - River ft. Ed Sheeran","Eminem|""River""|""Aftermath/Shady/Interscope""|""Rap""|""River video""|""River official video""|""River music video""|""River video Eminem Ed Sheeran""|""River official video Eminem Ed Sheeran""|""River music video Eminem Ed Sheeran""|""Eminem 2017""|""Eminem 2018""|""New Eminem""|""New Eminem 2017""|""New Eminem 2018""|""Eminem Ed Sheeran""|""Eminem Ed Sheeran Collab""|""Eminem River""|""Ed Sheeran River""|""Eminem Ed Sheeran River""|""River ft Ed Sheeran""|""Revival""|""Eminem Revival""|""Revival 2017""|""all""",32730338,1199986,67809,10,"Music",2018-02-14,2018-02-24,"Eminem - River ft. Ed Sheeran","Eminem","River","Aftermath/Shady/Interscope","Rap","River video","River official video","River music video","River video Eminem Ed Sheeran","River official video Eminem Ed Sheeran","River music video Eminem Ed Sheeran","Eminem 2017","Eminem 2018","New Eminem","New Eminem 2017","New Eminem 2018","Eminem Ed Sheeran","Eminem Ed Sheeran Collab","Eminem River","Ed Sheeran River","Eminem Ed Sheeran River","River ft Ed Sheeran","Revival","Eminem Revival","Revival 2017","all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
